1D_h0.005_P12 {'extended_model': True, 'extended_equation': True, 'extended_solver': False} {'C-0.100': 'mis=0.0e+00 sprd=0.0e+00 c0/cut=0.0e+00 devpy=3.5e-03', 'C+0.100': 'mis=1.4e-16 sprd=1.4e-16 c0/cut=1.4e-16 devpy=3.3e-05'}
1D_h0.005_P13 {'extended_model': True, 'extended_equation': False, 'extended_solver': True} {'C-0.100': 'mis=3.0e-03 sprd=5.0e-03 c0/cut=3.2e-03 devpy=0.0e+00', 'C+0.100': 'mis=1.3e-03 sprd=1.4e-03 c0/cut=1.1e-04 devpy=0.0e+00'}
1D_h0.005_P23 {'extended_model': False, 'extended_equation': True, 'extended_solver': True} {'C-0.100': 'mis=1.2e-02 sprd=1.7e-02 c0/cut=1.1e-02 devpy=0.0e+00', 'C+0.100': 'mis=1.4e-03 sprd=1.2e-03 c0/cut=2.3e-05 devpy=0.0e+00'}
1D_h0.00125_P12 {'extended_model': True, 'extended_equation': True, 'extended_solver': False} {'C-0.100': 'mis=0.0e+00 sprd=1.4e-16 c0/cut=1.4e-16 devpy=1.2e-02', 'C+0.100': 'mis=1.3e-16 sprd=1.3e-16 c0/cut=0.0e+00 devpy=6.3e-03'}
1D_h0.00125_P13 {'extended_model': True, 'extended_equation': False, 'extended_solver': True} {'C-0.100': 'mis=2.4e-03 sprd=3.4e-02 c0/cut=1.2e-02 devpy=0.0e+00', 'C+0.100': 'mis=1.1e-02 sprd=7.3e-03 c0/cut=6.7e-03 devpy=0.0e+00'}
1D_h0.00125_P23 {'extended_model': False, 'extended_equation': True, 'extended_solver': True} {'C-0.100': 'mis=6.0e-02 sprd=5.1e-02 c0/cut=4.7e-02 devpy=0.0e+00', 'C+0.100': 'mis=3.2e-03 sprd=7.7e-03 c0/cut=8.3e-04 devpy=0.0e+00'}
1D_h0.0003125_P12 {'extended_model': True, 'extended_equation': True, 'extended_solver': False} {'C-0.100': 'mis=1.4e-16 sprd=1.4e-16 c0/cut=0.0e+00 devpy=4.8e-02', 'C+0.100': 'mis=0.0e+00 sprd=0.0e+00 c0/cut=0.0e+00 devpy=1.3e-02'}
1D_h0.0003125_P13 {'extended_model': True, 'extended_equation': False, 'extended_solver': True} {'C-0.100': 'mis=9.6e-03 sprd=3.5e-02 c0/cut=5.4e-02 devpy=0.0e+00', 'C+0.100': 'mis=2.2e-03 sprd=2.0e-02 c0/cut=1.5e-02 devpy=0.0e+00'}
1D_h0.0003125_P23 {'extended_model': False, 'extended_equation': True, 'extended_solver': True} {'C-0.100': 'mis=2.1e-04 sprd=1.4e-01 c0/cut=4.6e-02 devpy=0.0e+00', 'C+0.100': 'mis=2.4e-02 sprd=2.0e-02 c0/cut=1.6e-02 devpy=0.0e+00'}
